Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CAC,Camden National Corporation Common Stock,$39.51,-0.01,-0.025%,575839246.00,United States,,39604,Finance,Major Banks
CACC,Credit Acceptance Corporation Common Stock,$443.18,0.38,0.086%,5367429650.00,United States,1992,41484,Finance,Finance: Consumer Services
CATY,Cathay General Bancorp Common Stock,$42.31,-0.21,-0.494%,3053531020.00,United States,,156436,Finance,Major Banks
CBAN,Colony Bankcorp Inc. Common Stock,$15.00,-0.01,-0.067%,263848260.00,United States,,15328,Finance,Major Banks
CBFV,CB Financial Services Inc. Common Stock,$27.31,-0.74,-2.638%,140425589.00,United States,,1771,Finance,Major Banks
CBRL,Cracker Barrel Old Country Store Inc Common Stock,$44.40,-3.00,-6.329%,985871453.00,United States,1981,750919,Consumer Discretionary,Restaurants
CDLX,Cardlytics Inc. Common Stock,$3.15,-0.14,-4.255%,156996328.00,United States,2018,401024,Technology,Computer Software: Programming Data Processing
CFFN,Capitol Federal Financial Inc. Common Stock,$5.54,-0.07,-1.248%,735361678.00,United States,,418854,Finance,Savings Institutions
CGBD,Carlyle Secured Lending Inc. Common Stock,$17.23,-0.07,-0.405%,876118931.00,United States,2017,123642,Finance,Finance: Consumer Services
CGC,Canopy Growth Corporation Common Shares,$4.20,-0.22,-4.977%,430328174.00,Canada,,4451160,Health Care, Medicinal Chemicals and Botanical Products 
CGNT,Cognyte Software Ltd. Ordinary Shares,$6.58,-0.09,-1.349%,467157200.00,Israel,,223215,Technology,Computer Software: Prepackaged Software
CHCO,City Holding Company Common Stock,$114.33,-0.33,-0.288%,1680836786.00,United States,,35045,Finance,Major Banks
CHUY,Chuy's Holdings Inc. Common Stock,$37.46,0.01,0.027%,645446439.00,United States,2012,328522,Consumer Discretionary,Restaurants
CMAX,CareMax Inc. Class A Common Stock,$1.77,0.01,0.568%,6752499.00,United States,2020,46851,Health Care,Hospital/Nursing Management
CMCT,Creative Media & Community Trust Corporation Common stock,$0.7079,-0.002,-0.282%,16130734.00,United States,,656088,Real Estate,Real Estate Investment Trusts
CMLS,Cumulus Media Inc. Class A Common Stock,$1.39,0.09,6.923%,23541333.00,United States,,17121,Consumer Discretionary,Broadcasting
CNSL,Consolidated Communications Holdings Inc. Common Stock,$4.62,-0.01,-0.216%,547364160.00,United States,2005,171568,Telecommunications,Telecommunications Equipment
CNXN,PC Connection Inc. Common Stock,$72.66,-0.91,-1.237%,1910464057.00,United States,,79528,Consumer Discretionary,Catalog/Specialty Distribution
CODX,Co-Diagnostics Inc. Common Stock,$1.25,-0.03,-2.344%,39888753.00,United States,2017,44511,Health Care,Medical/Dental Instruments
COEP,Coeptis Therapeutics Holdings Inc. Common Stock,$0.1695,-0.0034,-1.966%,6732302.00,United States,2020,186314,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COFS,ChoiceOne Financial Services Inc. Common Stock,$29.14,-0.30,-1.019%,261021404.00,United States,,13377,Finance,Major Banks
COMM,CommScope Holding Company Inc. Common Stock,$6.00,-0.16,-2.597%,1295101104.00,United States,2013,2955958,Technology,Radio And Television Broadcasting And Communications Equipment
CPTN,Cepton Inc. Common Stock,$3.16,0.00,0.00%,50696534.00,United States,2021,75480,Consumer Discretionary,Auto Parts:O.E.M.
CRCT,Cricut Inc. Class A Common Stock,$6.43,-0.04,-0.618%,1391246144.00,United States,2021,268942,Technology,Industrial Machinery/Components
CRMT,America's Car-Mart Inc Common Stock,$41.82,-0.56,-1.321%,267512378.00,United States,,81727,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CTNT,Cheetah Net Supply Chain Service Inc. Class A Common Stock,$0.2302,-0.0535,-18.858%,7050564.00,United States,2023,1869152,Consumer Discretionary,Motor Vehicles
CZNC,Citizens & Northern Corp Common Stock,$18.84,0.04,0.213%,289993645.00,United States,,9687,Finance,Major Banks
DGICA,Donegal Group Inc. Class A Common Stock,$14.19,-0.24,-1.663%,475132994.00,United States,,45789,Finance,Property-Casualty Insurers
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,$3.74,-0.16,-4.103%,899749045.00,United States,,609868,Real Estate,Real Estate Investment Trusts
DLTH,Duluth Holdings Inc. Class B Common Stock,$3.67,-0.12,-3.166%,128579922.00,United States,2015,52284,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DTI,Drilling Tools International Corporation Common Stock,$3.80,0.07,1.877%,131877845.00,United States,2021,106981,Industrials,Metal Fabrications
EBMT,Eagle Bancorp Montana Inc. Common Stock,$15.77,0.00,0.00%,126424684.00,United States,2010,11883,Finance,Major Banks
EGBN,Eagle Bancorp Inc. Common Stock,$22.92,-0.39,-1.673%,691664312.00,United States,,360380,Finance,Major Banks
EHTH,eHealth Inc. Common Stock,$4.42,-0.06,-1.339%,129971948.00,United States,2006,82345,Finance,Specialty Insurers
EMBC,Embecta Corp. Common Stock,$13.23,-0.28,-2.073%,763395211.00,United States,,233120,Health Care,Medical/Dental Instruments
ERIC,Ericsson American Depositary Shares,$7.43,0.02,0.27%,24847047391.00,Sweden,,10285107,Technology,Radio And Television Broadcasting And Communications Equipment
ESGR,Enstar Group Limited Ordinary Shares,$320.69,-2.67,-0.826%,4884639121.00,Bermuda,,126004,Finance,Property-Casualty Insurers
ESLT,Elbit Systems Ltd. Ordinary Shares,$209.07,7.13,3.531%,9272254500.00,Israel,,57513,Industrials,Military/Government/Technical
EXAI,Exscientia Plc American Depositary Shares,$4.64,0.04,0.87%,583259117.00,United Kingdom,2021,284411,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FAST,Fastenal Company Common Stock,$70.00,-0.18,-0.256%,40085227280.00,United States,1987,2474597,Consumer Discretionary,RETAIL: Building Materials
FCBC,First Community Bankshares Inc. (VA) Common Stock,$41.29,-0.13,-0.314%,754388739.00,United States,,22967,Finance,Major Banks
FCEL,FuelCell Energy Inc. Common Stock,$0.3587,0.0056,1.586%,199440625.00,United States,,24547950,Energy,Industrial Machinery/Components
FFBC,First Financial Bancorp. Common Stock,$24.21,-0.09,-0.37%,2311614233.00,United States,,197044,Finance,Major Banks
FFIN,First Financial Bankshares Inc. Common Stock,$35.97,0.08,0.223%,5138339967.00,United States,,401011,Finance,Major Banks
FFIV,F5 Inc. Common Stock,$218.23,-1.68,-0.764%,12719415305.00,United States,1999,432761,Telecommunications,Computer Communications Equipment
FGBI,First Guaranty Bancshares Inc. Common Stock,$10.60,-0.12,-1.119%,132550000.00,United States,,6869,Finance,Savings Institutions
FHB,First Hawaiian Inc. Common Stock,$22.66,-0.24,-1.048%,2897900544.00,United States,2016,369978,Finance,Major Banks
FISI,Financial Institutions Inc. Common Stock,$24.55,-0.22,-0.888%,379847297.00,United States,1999,26256,Finance,Major Banks
FLIC,First of Long Island Corporation (The) Common Stock,$12.96,0.05,0.387%,292005285.00,United States,,52319,Finance,Major Banks
FLNT,Fluent Inc. Common Stock,$2.95,0.02,0.683%,49771887.00,United States,,12408,Consumer Discretionary,Advertising
FMAO,Farmers & Merchants Bancorp Inc. Common Stock,$25.99,-0.09,-0.345%,355541745.00,United States,,15616,Finance,Savings Institutions
FNWB,First Northwest Bancorp Common Stock,$10.21,-0.15,-1.448%,96410620.00,United States,2015,21710,Finance,Banks
FORR,Forrester Research Inc. Common Stock,$16.17,0.26,1.634%,308200200.00,United States,1996,150482,Consumer Discretionary,Diversified Commercial Services
FSUN,FirstSun Capital Bancorp Common Stock,$41.07,-0.51,-1.227%,1135159234.00,United States,,54170,Finance,Major Banks
FUNC,First United Corporation Common Stock,$29.70,0.00,0.00%,192028350.00,United States,,10761,Finance,Major Banks
FVCB,FVCBankcorp Inc. Common Stock,$12.58,-0.18,-1.411%,228781729.00,United States,,8741,Finance,Major Banks
GAN,GAN Limited Ordinary Shares,$1.77,0.02,1.143%,80486992.00,United Kingdom,2020,62100,Technology,Computer Software: Programming Data Processing
GECC,Great Elm Capital Corp. Common Stock,$10.0798,0.1498,1.509%,76626236.00,United States,,14450,Finance,Finance: Consumer Services
GIII,G-III Apparel Group LTD. Common Stock,$29.67,-0.44,-1.461%,1302054420.00,United States,1989,544470,Consumer Discretionary,Apparel
GIPR,Generation Income Properties Inc. Common Stock,$2.04,0.01,0.493%,11063304.00,United States,,29492,Real Estate,Real Estate Investment Trusts
GLRE,Greenlight Capital Re Ltd. Class A Ordinary Shares,$13.39,-0.51,-3.669%,472950118.00,Cayman Islands,2007,148184,Finance,Property-Casualty Insurers
GPRO,GoPro Inc. Class A Common Stock,$1.31,0.01,0.769%,200075748.00,United States,2014,955575,Consumer Discretionary,Industrial Machinery/Components
GRFS,Grifols S.A. American Depositary Shares,$8.88,-0.04,-0.448%,6105487583.00,Spain,,450583,Health Care,Biotechnology: Pharmaceutical Preparations
GRYP,Gryphon Digital Mining Inc Common Stock,$0.5755,-0.0046,-0.793%,23266140.00,United States,2018,165452,Technology,EDP Services
GSBC,Great Southern Bancorp Inc. Common Stock,$55.10,-0.15,-0.271%,643444190.00,United States,1989,12408,Finance,Major Banks
GYRE,Gyre Therapeutics Inc. Common Stock,$12.97,-0.50,-3.712%,1211711666.00,United States,2006,32107,Health Care,Biotechnology: Pharmaceutical Preparations
HAYN,Haynes International Inc. Common Stock,$59.52,-0.03,-0.05%,760964450.00,United States,2007,106398,Industrials,Steel/Iron Ore
HBT,HBT Financial Inc. Common Stock,$21.13,-0.10,-0.471%,666849404.00,United States,2019,14023,Finance,Major Banks
HLNE,Hamilton Lane Incorporated Class A Common Stock,$172.02,-1.58,-0.91%,9323052402.00,United States,2017,349552,Finance,Investment Managers
HLVX,HilleVax Inc. Common Stock,$1.80,0.03,1.695%,89612888.00,United States,2022,162621,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HRZN,Horizon Technology Finance Corporation Common Stock,$10.60,0.00,0.00%,382232555.00,United States,2010,306652,Finance,Finance: Consumer Services
HTLD,Heartland Express Inc. Common Stock,$11.53,0.22,1.945%,905050348.00,United States,1986,483626,Industrials,Trucking Freight/Courier Services
HTZ,Hertz Global Holdings Inc Common Stock,$3.43,0.11,3.313%,1051318314.00,United States,,2906336,Consumer Discretionary,Rental/Leasing Companies
HYFM,Hydrofarm Holdings Group Inc. Common Stock,$0.679,-0.003,-0.44%,31221170.00,United States,2020,89287,Consumer Discretionary,Consumer Specialties
IART,Integra LifeSciences Holdings Corporation Common Stock,$17.43,0.43,2.529%,1352254731.00,United States,,955878,Health Care,Medical/Dental Instruments
IBCP,Independent Bank Corporation Common Stock,$31.85,-0.51,-1.576%,665554226.00,United States,,61346,Finance,Major Banks
ICMB,Investcorp Credit Management BDC Inc. Common Stock,$3.185,-0.0086,-0.269%,45875950.00,United States,2014,24444,Finance,Finance: Consumer Services
IHRT,iHeartMedia Inc. Class A Common Stock,$1.99,0.02,1.015%,292145803.00,United States,,507727,Consumer Discretionary,Broadcasting
INBX,Inhibrx Biosciences Inc. Common Stock,$15.27,0.51,3.455%,221047054.00,United States,,66592,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
INFN,Infinera Corporation Common Stock,$6.74,-0.01,-0.148%,1588372300.00,United States,2007,1778571,Utilities,Telecommunications Equipment
INGN,Inogen Inc Common Stock,$9.16,0.04,0.439%,217266150.00,United States,2014,267124,Health Care,Industrial Specialties
INNV,InnovAge Holding Corp. Common Stock,$5.35,-0.15,-2.727%,725569894.00,United States,2021,20292,Health Care,Medical/Nursing Services
INSG,Inseego Corp. Common Stock,$16.61,0.13,0.789%,204013189.00,United States,,106918,Telecommunications,Telecommunications Equipment
INTC,Intel Corporation Common Stock,$22.38,-0.21,-0.93%,95696880000.00,United States,,54815478,Technology,Semiconductors
INVO,INVO BioScience Inc. Common Stock,$0.67,-0.03,-4.286%,2617068.00,United States,,8608,Health Care,Medical/Dental Instruments
IRBT,iRobot Corporation Common Stock,$8.13,-0.37,-4.353%,245779689.00,United States,2005,585136,Consumer Discretionary,Consumer Electronics/Appliances
IRIX,IRIDEX Corporation Common Stock,$1.58,-0.11,-6.509%,26084871.00,United States,1996,39669,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
IVAC,Intevac Inc. Common Stock,$3.26,-0.10,-2.976%,87809424.00,United States,1995,22756,Technology,Industrial Machinery/Components
JBLU,JetBlue Airways Corporation Common Stock,$7.23,-0.07,-0.959%,2507603508.00,United States,2002,14933914,Consumer Discretionary,Air Freight/Delivery Services
KALU,Kaiser Aluminum Corporation Common Stock,$71.87,0.07,0.097%,1156180739.00,United States,,70333,Industrials,Metal Fabrications
KOD,Kodiak Sciences Inc Common Stock,$2.66,0.00,0.00%,139955179.00,United States,2018,83596,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KPLT,Katapult Holdings Inc. Common Stock,$9.92,-0.33,-3.22%,41355676.00,United States,2019,10737,Consumer Discretionary,Diversified Commercial Services
KRNY,Kearny Financial Corp Common Stock,$6.58,-0.06,-0.904%,424934314.00,United States,2005,169033,Finance,Savings Institutions
LCID,Lucid Group Inc. Common Stock,$3.42,0.08,2.395%,7930558314.00,United States,,27367724,Consumer Discretionary,Auto Manufacturing
LCNB,LCNB Corporation Common Stock,$14.43,-0.25,-1.703%,204216073.00,United States,,6689,Finance,Major Banks
LGIH,LGI Homes Inc. Common Stock,$110.53,-0.87,-0.781%,2597485948.00,United States,2013,112324,Consumer Discretionary,Homebuilding
LIDR,AEye Inc. Class A Common Stock,$1.29,0.12,10.256%,11110881.00,United States,2021,266555,Consumer Discretionary,Auto Parts:O.E.M.
LIEN,Chicago Atlantic BDC Inc. Common Stock,$12.40,0.50,4.202%,77065554.00,United States,2022,50977,Finance,Finance: Consumer Services
LOAN,Manhattan Bridge Capital Inc,$5.86,0.13,2.269%,67030495.00,United States,,92679,Real Estate,Real Estate Investment Trusts
LOGC,ContextLogic Inc. Class A Common Stock,$5.73,-0.20,-3.373%,150553687.00,United States,2020,255454,Consumer Discretionary,Catalog/Specialty Distribution
LOT,Lotus Technology Inc. American Depositary Shares,$4.86,-0.13,-2.605%,0.00,China,,142431,,
LPSN,LivePerson Inc. Common Stock,$1.18,-0.07,-5.60%,105043291.00,United States,2000,1137000,Technology,Computer Software: Prepackaged Software
LUXH,LuxUrban Hotels Inc. Common Stock,$0.0722,-0.0045,-5.867%,9880871.00,United States,2022,8318591,Finance,Real Estate
LVLU,Lulu's Fashion Lounge Holdings Inc. Common Stock,$1.65,0.15,10.00%,68923617.00,United States,2021,18404,Consumer Discretionary,Catalog/Specialty Distribution
MAXN,Maxeon Solar Technologies Ltd. Ordinary Shares,$0.0787,-0.0054,-6.421%,4384027.00,Singapore,,51714630,Technology,Semiconductors
MBCN,Middlefield Banc Corp. Common Stock,$28.19,-0.30,-1.053%,227522392.00,United States,,4619,Finance,Major Banks
MCBS,MetroCity Bankshares Inc. Common Stock,$29.19,-0.11,-0.375%,739438628.00,United States,2019,31113,Finance,Major Banks
MCRI,Monarch Casino & Resort Inc. Common Stock,$76.55,-1.41,-1.809%,1412509556.00,United States,1993,83972,Consumer Discretionary,Hotels/Resorts
MEIP,MEI Pharma Inc. Common Stock,$2.77,-0.04,-1.423%,18456114.00,United States,2003,7531,Health Care,Biotechnology: Pharmaceutical Preparations
MERC,Mercer International Inc. Common Stock,$7.28,0.17,2.391%,486819235.00,Canada,,367404,Basic Materials,Paper
MGEE,MGE Energy Inc,$89.34,-1.61,-1.77%,3231953834.00,United States,,61481,Energy,Electric Utilities: Central
MIGI,Mawson Infrastructure Group Inc. Common Stock,$1.19,-0.03,-2.459%,22078788.00,Australia,,330169,Finance,Finance: Consumer Services
MLKN,MillerKnoll Inc. Common Stock,$24.68,0.12,0.489%,1723423601.00,United States,,399403,Consumer Discretionary,Office Equipment/Supplies/Services
MMLP,Martin Midstream Partners L.P. Limited Partnership,$3.99,0.035,0.885%,155614333.00,United States,2002,435466,Energy,Oil Refining/Marketing
MNRO,Monro Inc. Common Stock,$27.71,-0.73,-2.567%,829107197.00,United States,1991,308845,Consumer Discretionary,Automotive Aftermarket
MNTK,Montauk Renewables Inc. Common Stock,$5.56,0.15,2.773%,798490493.00,United States,2021,122801,Utilities,Natural Gas Distribution
MNTX,Manitex International Inc. Common Stock,$5.67,-0.03,-0.526%,115653020.00,United States,,190216,Technology,Industrial Machinery/Components
MRCY,Mercury Systems Inc Common Stock,$36.75,-0.60,-1.606%,2183185788.00,United States,1998,288314,Technology,Electrical Products
MSBI,Midland States Bancorp Inc. Common Stock,$21.85,0.15,0.691%,467442731.00,United States,2016,46548,Finance,Major Banks
MSGM,Motorsport Games Inc. Class A Common Stock,$1.34,-0.12,-8.219%,5058039.00,United States,2021,120176,Technology,Computer Software: Prepackaged Software
MTTR,Matterport Inc. Class A Common Stock,$4.64,-0.06,-1.277%,1480768388.00,United States,2021,1256608,Technology,Computer Software: Prepackaged Software
MVIS,MicroVision Inc. Common Stock,$1.29,0.09,7.50%,274448336.00,United States,1996,1739360,Technology,Industrial Machinery/Components
NAVI,Navient Corporation Common Stock,$15.82,0.22,1.41%,1730867687.00,United States,,553149,Finance,Investment Bankers/Brokers/Service
NECB,NorthEast Community Bancorp Inc. Common Stock,$25.24,1.11,4.60%,353879994.00,United States,2021,130504,Finance,Banks
NERV,Minerva Neurosciences Inc Common Stock,$2.65,0.0272,1.037%,18532526.00,United States,2014,17681,Health Care,Biotechnology: Pharmaceutical Preparations
NEWT,NewtekOne Inc. Common Stock,$12.69,-0.01,-0.079%,329483744.00,United States,,128539,Finance,Major Banks
NFBK,Northfield Bancorp Inc. Common Stock (Delaware),$11.14,-0.06,-0.536%,481094290.00,United States,2007,92660,Finance,Savings Institutions
NIU,Niu Technologies American Depositary Shares,$3.37,0.57,20.357%,261372196.00,China,2018,4278529,Consumer Discretionary,Auto Manufacturing
NKSH,National Bankshares Inc. Common Stock,$28.60,-0.83,-2.82%,181936984.00,United States,,6887,Finance,Major Banks
NTCT,NetScout Systems Inc. Common Stock,$20.13,-0.43,-2.091%,1435627797.00,United States,1999,340204,Technology,EDP Services
NTRP,NextTrip Inc. Common Stock,$2.8315,0.0015,0.053%,3931937.00,United States,,22438,Consumer Discretionary,Miscellaneous manufacturing industries
NTRS,Northern Trust Corporation Common Stock,$90.20,-0.26,-0.287%,18187734521.00,United States,,865047,Finance,Major Banks
NWBI,Northwest Bancshares Inc. Common Stock,$12.92,-0.07,-0.539%,1645635891.00,United States,2009,549243,Finance,Major Banks
NWL,Newell Brands Inc. Common Stock,$7.32,-0.16,-2.139%,3045120000.00,United States,,4037261,Industrials,Plastic Products
NXU,Nxu Inc. Class A Common Stock,$0.2599,0.0043,1.682%,3171189.00,United States,2022,434624,Consumer Discretionary,Construction/Ag Equipment/Trucks
NYAX,Nayax Ltd. Ordinary Shares,$25.505,0.139,0.548%,924811300.00,Israel,,2522,Technology,Computer Software: Prepackaged Software
OFS,OFS Capital Corporation Common Stock,$8.16,-0.05,-0.609%,109328316.00,United States,,45646,Finance,Finance/Investors Services
OLPX,Olaplex Holdings Inc. Common Stock,$2.23,-0.11,-4.701%,1476225848.00,United States,2021,4435413,Consumer Discretionary,Package Goods/Cosmetics
OMER,Omeros Corporation Common Stock,$3.85,0.08,2.122%,223095407.00,United States,2009,149054,Health Care,Biotechnology: Pharmaceutical Preparations
OPHC,OptimumBank Holdings Inc. Common Stock,$4.55,0.0399,0.885%,44032311.00,United States,,10680,Finance,Major Banks
ORMP,Oramed Pharmaceuticals Inc. Common Stock,$2.41,0.06,2.553%,98253355.00,Israel,,103225,Health Care,Biotechnology: Pharmaceutical Preparations
OTTR,Otter Tail Corporation Common Stock,$75.93,-1.81,-2.328%,3175997534.00,United States,,277461,Utilities,Electric Utilities: Central
OXSQ,Oxford Square Capital Corp. Common Stock,$2.88,0.00,0.00%,183622637.00,United States,2003,442986,Finance,Blank Checks
OZK,Bank OZK Common Stock,$42.11,-0.14,-0.331%,4764162519.00,United States,,745341,Finance,Major Banks
PAHC,Phibro Animal Health Corporation Class A Common Stock,$20.89,-0.42,-1.971%,846120371.00,United States,2014,148675,Health Care,Biotechnology: Pharmaceutical Preparations
PALT,Paltalk Inc. Common Stock,$3.19,0.00,0.00%,29418681.00,United States,,14390,Consumer Discretionary,Business Services
PARA,Paramount Global Class B Common Stock,$10.52,0.00,0.00%,7013835225.00,United States,,4932160,Industrials,Broadcasting
PARAA,Paramount Global Class A Common Stock,$22.14,0.19,0.866%,14761056263.00,United States,,32386,Industrials,Broadcasting
PAX,Patria Investments Limited Class A Common Shares,$11.07,0.07,0.636%,1641171094.00,Cayman Islands,2021,979120,Finance,Investment Managers
PAYX,Paychex Inc. Common Stock,$137.44,-1.21,-0.873%,49464384006.00,United States,1983,1147683,Consumer Discretionary,Diversified Commercial Services
PBYI,Puma Biotechnology Inc Common Stock,$2.66,0.01,0.377%,130464283.00,United States,,257009,Health Care,Biotechnology: Pharmaceutical Preparations
PCB,PCB Bancorp Common Stock,$17.94,-0.16,-0.884%,255717191.00,United States,2018,11617,Finance,Major Banks
PETS,PetMed Express Inc. Common Stock,$3.78,-0.11,-2.828%,77870465.00,United States,,216286,Consumer Staples,Retail-Drug Stores and Proprietary Stores
PFG,Principal Financial Group Inc Common Stock,$85.67,-1.65,-1.89%,19839776950.00,United States,2001,993035,Finance,Accident &Health Insurance
PFIS,Peoples Financial Services Corp. Common Stock,$45.46,0.20,0.442%,453499368.00,United States,,6076,Finance,Major Banks
PFX,PhenixFIN Corporation Common Stock,$47.625,0.00,0.00%,96191927.00,United States,,1100,Finance,Finance: Consumer Services
PINC,Premier Inc. Class A Common Stock,$19.08,-0.11,-0.573%,1911585647.00,United States,2013,789429,Consumer Discretionary,Other Consumer Services
PKOH,Park-Ohio Holdings Corp. Common Stock,$29.43,-0.52,-1.736%,387888224.00,United States,,23679,Industrials,Industrial Specialties
PLCE,Children's Place Inc. (The) Common Stock,$13.54,-1.47,-9.793%,172205511.00,United States,1997,751501,Consumer Discretionary,Clothing/Shoe/Accessory Stores
PROC,Procaps Group S.A. Ordinary Shares,$2.24,0.0788,3.646%,252726170.00,Luxembourg,,15203,Health Care,Biotechnology: Pharmaceutical Preparations
PROV,Provident Financial Holdings Inc. Common Stock,$14.51,-0.05,-0.343%,99580505.00,United States,,1063,Finance,Savings Institutions
PSNY,Polestar Automotive Holding UK PLC Class A ADS,$1.64,-0.05,-2.959%,3501744872.00,Sweden,,3282487,Consumer Discretionary,Auto Manufacturing
PTSI,P.A.M. Transportation Services Inc. Common Stock,$16.92,0.15,0.894%,368094786.00,United States,1986,20019,Industrials,Trucking Freight/Courier Services
