,Symbol,Name,Buy,Analyst,Analyst_Numeric,Analyst_String
65,DLTH,Duluth Holdings Inc. Class B Common Stock,0,Hold,,
66,DTI,Drilling Tools International Corporation Common Stock,0,Hold,,
67,EBMT,Eagle Bancorp Montana Inc. Common Stock,0,Hold,,
68,EGBN,Eagle Bancorp Inc. Common Stock,0,Hold,,
69,EHTH,eHealth Inc. Common Stock,0,Hold,,
70,EMBC,Embecta Corp. Common Stock,0,Hold,,
71,ERIC,Ericsson American Depositary Shares,0,Hold,,
72,ESGR,Enstar Group Limited Ordinary Shares,0,Hold,,
73,ESLT,Elbit Systems Ltd. Ordinary Shares,0,Hold,,
74,EXAI,Exscientia Plc American Depositary Shares,0,Hold,,
75,FAST,Fastenal Company Common Stock,0,Hold,,
76,FCBC,First Community Bankshares Inc. (VA) Common Stock,0,Hold,,
77,FCEL,FuelCell Energy Inc. Common Stock,0,Hold,,
78,FFBC,First Financial Bancorp. Common Stock,0,Hold,,
79,FFIN,First Financial Bankshares Inc. Common Stock,0,Hold,,
80,FFIV,F5 Inc. Common Stock,0,Hold,,
81,FGBI,First Guaranty Bancshares Inc. Common Stock,0,Hold,,
82,FHB,First Hawaiian Inc. Common Stock,0,Hold,,
83,FISI,Financial Institutions Inc. Common Stock,0,Hold,,
84,FLIC,First of Long Island Corporation (The) Common Stock,0,Hold,,
85,FLNT,Fluent Inc. Common Stock,0,Hold,,
86,FMAO,Farmers & Merchants Bancorp Inc. Common Stock,0,Hold,,
87,FNWB,First Northwest Bancorp Common Stock,0,Hold,,
88,FORR,Forrester Research Inc. Common Stock,0,Hold,,
89,FSUN,FirstSun Capital Bancorp Common Stock,0,Hold,,
90,FUNC,First United Corporation Common Stock,0,Hold,,
91,FVCB,FVCBankcorp Inc. Common Stock,0,Hold,,
92,GAN,GAN Limited Ordinary Shares,0,Hold,,
93,GECC,Great Elm Capital Corp. Common Stock,0,Hold,,
94,GIII,G-III Apparel Group LTD. Common Stock,0,Hold,,
95,GIPR,Generation Income Properties Inc. Common Stock,0,Hold,,
96,GLRE,Greenlight Capital Re Ltd. Class A Ordinary Shares,0,Hold,,
97,GPRO,GoPro Inc. Class A Common Stock,0,Hold,,
98,GRFS,Grifols S.A. American Depositary Shares,0,Hold,,
99,GRYP,Gryphon Digital Mining Inc Common Stock,0,Hold,,
100,GSBC,Great Southern Bancorp Inc. Common Stock,0,Hold,,
101,GYRE,Gyre Therapeutics Inc. Common Stock,0,Hold,,
102,HAYN,Haynes International Inc. Common Stock,0,Hold,,
103,HBT,HBT Financial Inc. Common Stock,0,Hold,,
104,HLNE,Hamilton Lane Incorporated Class A Common Stock,0,Hold,,
105,HLVX,HilleVax Inc. Common Stock,0,Hold,,
106,HRZN,Horizon Technology Finance Corporation Common Stock,0,Hold,,
107,HTLD,Heartland Express Inc. Common Stock,0,Hold,,
108,HTZ,Hertz Global Holdings Inc Common Stock,0,Hold,,
109,HYFM,Hydrofarm Holdings Group Inc. Common Stock,0,Hold,,
110,IART,Integra LifeSciences Holdings Corporation Common Stock,0,Hold,,
111,IBCP,Independent Bank Corporation Common Stock,0,Hold,,
112,ICMB,Investcorp Credit Management BDC Inc. Common Stock,0,Hold,,
113,IHRT,iHeartMedia Inc. Class A Common Stock,0,Hold,,
114,INBX,Inhibrx Biosciences Inc. Common Stock,0,Hold,,
115,INFN,Infinera Corporation Common Stock,0,Hold,,
116,INGN,Inogen Inc Common Stock,0,Hold,,
117,INNV,InnovAge Holding Corp. Common Stock,0,Hold,,
118,INSG,Inseego Corp. Common Stock,0,Hold,,
119,INTC,Intel Corporation Common Stock,0,Hold,,
120,INVO,INVO BioScience Inc. Common Stock,0,Hold,,
121,IRBT,iRobot Corporation Common Stock,0,Hold,,
122,IRIX,IRIDEX Corporation Common Stock,0,Hold,,
123,IVAC,Intevac Inc. Common Stock,0,Hold,,
124,JBLU,JetBlue Airways Corporation Common Stock,0,Hold,,
125,KALU,Kaiser Aluminum Corporation Common Stock,0,Hold,,
126,KOD,Kodiak Sciences Inc Common Stock,0,Hold,,
127,KPLT,Katapult Holdings Inc. Common Stock,0,Hold,,
128,KRNY,Kearny Financial Corp Common Stock,0,Hold,,
129,LCID,Lucid Group Inc. Common Stock,0,Hold,,
130,LCNB,LCNB Corporation Common Stock,0,Hold,,
131,LGIH,LGI Homes Inc. Common Stock,0,Hold,,
132,LIDR,AEye Inc. Class A Common Stock,0,Hold,,
133,LIEN,Chicago Atlantic BDC Inc. Common Stock,0,Hold,,
134,LOAN,Manhattan Bridge Capital Inc,0,Hold,,
135,LOGC,ContextLogic Inc. Class A Common Stock,0,Hold,,
136,LOT,Lotus Technology Inc. American Depositary Shares,0,Hold,,
137,LPSN,LivePerson Inc. Common Stock,0,Hold,,
138,LUXH,LuxUrban Hotels Inc. Common Stock,0,Hold,,
139,LVLU,Lulu's Fashion Lounge Holdings Inc. Common Stock,0,Hold,,
140,MAXN,Maxeon Solar Technologies Ltd. Ordinary Shares,0,Hold,,
141,MBCN,Middlefield Banc Corp. Common Stock,0,Hold,,
142,MCBS,MetroCity Bankshares Inc. Common Stock,0,Hold,,
143,MCRI,Monarch Casino & Resort Inc. Common Stock,0,Hold,,
144,MEIP,MEI Pharma Inc. Common Stock,0,Hold,,
145,MERC,Mercer International Inc. Common Stock,0,Hold,,
146,MGEE,MGE Energy Inc,0,Hold,,
147,MIGI,Mawson Infrastructure Group Inc. Common Stock,0,Hold,,
148,MLKN,MillerKnoll Inc. Common Stock,0,Hold,,
149,MMLP,Martin Midstream Partners L.P. Limited Partnership,0,Hold,,
150,MNRO,Monro Inc. Common Stock,0,Hold,,
151,MNTK,Montauk Renewables Inc. Common Stock,0,Hold,,
152,MNTX,Manitex International Inc. Common Stock,0,Hold,,
153,MRCY,Mercury Systems Inc Common Stock,0,Hold,,
154,MSBI,Midland States Bancorp Inc. Common Stock,0,Hold,,
155,MSGM,Motorsport Games Inc. Class A Common Stock,0,Hold,,
156,MTTR,Matterport Inc. Class A Common Stock,0,Hold,,
157,MVIS,MicroVision Inc. Common Stock,0,Hold,,
158,NAVI,Navient Corporation Common Stock,0,Hold,,
159,NECB,NorthEast Community Bancorp Inc. Common Stock,0,Hold,,
160,NERV,Minerva Neurosciences Inc Common Stock,0,Hold,,
161,NEWT,NewtekOne Inc. Common Stock,0,Hold,,
162,NFBK,Northfield Bancorp Inc. Common Stock (Delaware),0,Hold,,
163,NIU,Niu Technologies American Depositary Shares,0,Hold,,
164,NKSH,National Bankshares Inc. Common Stock,0,Hold,,
165,NTCT,NetScout Systems Inc. Common Stock,0,Hold,,
166,NTRP,NextTrip Inc. Common Stock,0,Hold,,
167,NTRS,Northern Trust Corporation Common Stock,0,Hold,,
168,NWBI,Northwest Bancshares Inc. Common Stock,0,Hold,,
169,NWL,Newell Brands Inc. Common Stock,0,Hold,,
170,NXU,Nxu Inc. Class A Common Stock,0,Hold,,
171,NYAX,Nayax Ltd. Ordinary Shares,0,Hold,,
172,OFS,OFS Capital Corporation Common Stock,0,Hold,,
173,OLPX,Olaplex Holdings Inc. Common Stock,0,Hold,,
174,OMER,Omeros Corporation Common Stock,0,Hold,,
175,OPHC,OptimumBank Holdings Inc. Common Stock,0,Hold,,
176,ORMP,Oramed Pharmaceuticals Inc. Common Stock,0,Hold,,
177,OTTR,Otter Tail Corporation Common Stock,0,Hold,,
178,OXSQ,Oxford Square Capital Corp. Common Stock,0,Hold,,
179,OZK,Bank OZK Common Stock,0,Hold,,
180,PAHC,Phibro Animal Health Corporation Class A Common Stock,0,Hold,,
181,PALT,Paltalk Inc. Common Stock,0,Hold,,
182,PARA,Paramount Global Class B Common Stock,0,Hold,,
183,PARAA,Paramount Global Class A Common Stock,0,Hold,,
184,PAX,Patria Investments Limited Class A Common Shares,0,Hold,,
185,PAYX,Paychex Inc. Common Stock,0,Hold,,
186,PBYI,Puma Biotechnology Inc Common Stock,0,Hold,,
187,PCB,PCB Bancorp Common Stock,0,Hold,,
188,PETS,PetMed Express Inc. Common Stock,0,Hold,,
189,PFG,Principal Financial Group Inc Common Stock,0,Hold,,
190,PFIS,Peoples Financial Services Corp. Common Stock,0,Hold,,
191,PFX,PhenixFIN Corporation Common Stock,0,Hold,,
192,PINC,Premier Inc. Class A Common Stock,0,Hold,,
193,PKOH,Park-Ohio Holdings Corp. Common Stock,0,Hold,,
194,PLCE,Children's Place Inc. (The) Common Stock,0,Hold,,
195,PROC,Procaps Group S.A. Ordinary Shares,0,Hold,,
196,PROV,Provident Financial Holdings Inc. Common Stock,0,Hold,,
197,PSNY,Polestar Automotive Holding UK PLC Class A ADS,0,Hold,,
198,PTSI,P.A.M. Transportation Services Inc. Common Stock,0,Hold,,
199,PVBC,Provident Bancorp Inc. (MD) Common Stock,0,Hold,,
200,QMCO,Quantum Corporation Common Stock,0,Hold,,
201,QRTEA,Qurate Retail Inc. Series A Common Stock ,0,Hold,,
202,RBB,RBB Bancorp Common Stock,0,Hold,,
203,RCKY,Rocky Brands Inc. Common Stock,0,Hold,,
204,RCON,Recon Technology Ltd. Class A Ordinary Shares,0,Hold,,
205,RDI,Reading International Inc Class A Common Stock,0,Hold,,
206,RDUS,Radius Recycling Inc. Class A Common Stock,0,Hold,,
207,RGP,Resources Connection Inc. Common Stock,0,Hold,,
208,RSLS,ReShape Lifesciences Inc. Common Stock,0,Hold,,
209,RUM,Rumble Inc. Class A Common Stock,0,Hold,,
210,RVYL,Ryvyl Inc. Common Stock,0,Hold,,
211,RXT,Rackspace Technology Inc. Common Stock,0,Hold,,
212,SAFT,Safety Insurance Group Inc. Common Stock,0,Hold,,
213,SANM,Sanmina Corporation Common Stock,0,Hold,,
214,SASR,Sandy Spring Bancorp Inc. Common Stock,0,Hold,,
215,SBGI,Sinclair Inc. Class A Common Stock,0,Hold,,
216,SBSI,Southside Bancshares Inc. Common Stock,0,Hold,,
217,SCSC,ScanSource Inc. Common Stock,0,Hold,,
218,SCWX,SecureWorks Corp. Class A Common Stock,0,Hold,,
219,SFIX,Stitch Fix Inc. Class A Common Stock,0,Hold,,
220,SFNC,Simmons First National Corporation Class A Common Stock,0,Hold,,
221,SFST,Southern First Bancshares Inc. Common Stock,0,Hold,,
222,SHBI,Shore Bancshares Inc Common Stock,0,Hold,,
223,SHCR,Sharecare Inc. Class A Common Stock,0,Hold,,
224,SHIM,Shimmick Corporation Common Stock,0,Hold,,
225,SILC,Silicom Ltd Ordinary Shares,0,Hold,,
226,SKIN,The Beauty Health Company Class A Common Stock,0,Hold,,
227,SLDP,Solid Power Inc. Class A Common Stock,0,Hold,,
228,SLRC,SLR Investment Corp. Common Stock,0,Hold,,
229,SNBR,Sleep Number Corporation Common Stock,0,Hold,,
230,SND,Smart Sand Inc. Common Stock,0,Hold,,
231,SOHO,Sotherly Hotels Inc. Common Stock,0,Hold,,
232,SOND,Sonder Holdings Inc. Class A Common Stock,0,Hold,,
233,SQFT,Presidio Property Trust Inc. Class A Common Stock,0,Hold,,
234,SRCE,1st Source Corporation Common Stock,0,Hold,,
235,SRCL,Stericycle Inc. Common Stock,0,Hold,,
236,STBA,S&T Bancorp Inc. Common Stock,0,Hold,,
237,STRL,Sterling Infrastructure Inc. Common Stock,0,Hold,,
238,SVC,Service Properties Trust Common Stock,0,Hold,,
239,SYBX,Synlogic Inc. Common Stock,0,Hold,,
240,SYTA,Siyata Mobile Inc. Common Shares,0,Hold,,
241,TBNK,Territorial Bancorp Inc. Common Stock,0,Hold,,
242,TCPC,BlackRock TCP Capital Corp. Common Stock,0,Hold,,
243,TFIN,Triumph Financial Inc. Common Stock,0,Hold,,
244,TFSL,TFS Financial Corporation Common Stock,0,Hold,,
245,TH,Target Hospitality Corp. Common Stock,0,Hold,,
246,THFF,First Financial Corporation Indiana Common Stock,0,Hold,,
247,TIGR,UP Fintech Holding Ltd American Depositary Share representing fifteen Class A Ordinary Shares,0,Hold,,
248,TMCI,Treace Medical Concepts Inc. Common Stock,0,Hold,,
249,TRIP,TripAdvisor Inc. Common Stock,0,Hold,,
250,TROW,T. Rowe Price Group Inc. Common Stock,0,Hold,,
251,TRVG,trivago N.V. American Depositary Shares,0,Hold,,
252,TTOO,T2 Biosystems Inc. Common Stock,0,Hold,,
253,TWKS,Thoughtworks Holding Inc. Common Stock,0,Hold,,
254,UEIC,Universal Electronics Inc. Common Stock,0,Hold,,
255,ULCC,Frontier Group Holdings Inc. Common Stock,0,Hold,,
256,ULH,Universal Logistics Holdings Inc. Common Stock,0,Hold,,
257,UPST,Upstart Holdings Inc. Common stock,0,Hold,,
258,UVSP,Univest Financial Corporation Common Stock,0,Hold,,
259,VERO,Venus Concept Inc. Common Stock,0,Hold,,
260,VICR,Vicor Corporation Common Stock,0,Hold,,
261,VS,Versus Systems Inc. Common Shares,0,Hold,,
262,VSTA,Vasta Platform Limited Class A Ordinary Shares,0,Hold,,
263,VTNR,Vertex Energy Inc Common Stock,0,Hold,,
264,VTRS,Viatris Inc. Common Stock,0,Hold,,
265,WABC,Westamerica Bancorporation Common Stock,0,Hold,,
266,WASH,Washington Trust Bancorp Inc. Common Stock,0,Hold,,
267,WBA,Walgreens Boots Alliance Inc. Common Stock,0,Hold,,
268,WERN,Werner Enterprises Inc. Common Stock,0,Hold,,
269,WINT,Windtree Therapeutics Inc. Common Stock,0,Hold,,
270,WKHS,Workhorse Group Inc. Common Stock,0,Hold,,
271,WNEB,Western New England Bancorp Inc. Common Stock,0,Hold,,
272,WRLD,World Acceptance Corporation Common Stock,0,Hold,,
273,WTBA,West Bancorporation Common Stock,0,Hold,,
274,WW,WW International Inc. Common Stock,0,Hold,,
275,XBIO,Xenetic Biosciences Inc. Common Stock,0,Hold,,
276,ZENV,Zenvia Inc. Class A Common Stock,0,Hold,,
277,ZEUS,Olympic Steel Inc. Common Stock,0,Hold,,
278,ZIMV,ZimVie Inc. Common Stock,0,Hold,,
279,ZUMZ,Zumiez Inc. Common Stock,0,Hold,,
280,AMRN,Amarin Corporation plc,0,Sell,,
281,CALM,Cal-Maine Foods Inc. Common Stock,0,Sell,,
282,DOYU,DouYu International Holdings Limited ADS,0,Sell,,
283,FGEN,FibroGen Inc Common Stock,0,Sell,,
284,ME,23andMe Holding Co. Class A Common Stock,0,Sell,,
285,UFCS,United Fire Group Inc. Common Stock,0,Sell,,
286,XRX,Xerox Holdings Corporation Common Stock,0,Sell,,
287,ABAT,American Battery Technology Company Common Stock,,,0.0,Strong Sell
288,APLM,Apollomics Inc. Class A Ordinary Shares,,,0.0,Strong Sell
289,ARBB,ARB IOT Group Limited Ordinary Shares,,,0.0,Strong Sell
290,CHEK,Check-Cap Ltd. Ordinary Share,,,0.0,Strong Sell
291,ENSC,Ensysce Biosciences Inc. Common Stock,,,0.0,Strong Sell
292,ESSA,ESSA Bancorp Inc. Common Stock,,,0.0,Strong Sell
293,FIZZ,National Beverage Corp. Common Stock,,,0.0,Strong Sell
294,FNGR,FingerMotion Inc. Common Stock,,,0.0,Strong Sell
295,KITT,Nauticus Robotics Inc. Common stock,,,0.0,Strong Sell
296,KVHI,KVH Industries Inc. Common Stock,,,0.0,Strong Sell
297,KWE,KWESST Micro Systems Inc. Common Stock,,,0.0,Strong Sell
298,MBIO,Mustang Bio Inc. Common Stock,,,0.0,Strong Sell
299,NVVE,Nuvve Holding Corp. Common Stock,,,0.0,Strong Sell
300,ONCO,Onconetix Inc. Common Stock,,,0.0,Strong Sell
301,ORGS,Orgenesis Inc. Common Stock,,,0.0,Strong Sell
302,PEGY,Pineapple Energy Inc. Common Stock,,,0.0,Strong Sell
303,PRTG,Portage Biotech Inc. Common Stock,,,0.0,Strong Sell
304,PSEC,Prospect Capital Corporation Common Stock,,,0.0,Strong Sell
305,QSG,QuantaSing Group Limited American Depositary Shares,,,0.0,Strong Sell
306,RGS,Regis Corporation Common Stock,,,0.0,Strong Sell
307,RIME,Algorhythm Holdings Inc. Common Stock,,,0.0,Strong Sell
308,SEEL,Seelos Therapeutics Inc. Common Stock,,,0.0,Strong Sell
309,SLRX,Salarius Pharmaceuticals Inc. Common Stock,,,0.0,Strong Sell
310,SUUN,SolarBank Corporation Common Stock,,,0.0,Strong Sell
311,TCBP,TC BioPharm (Holdings) plc American Depositary Shares,,,0.0,Strong Sell
312,TOI,The Oncology Institute Inc. Common Stock,,,0.0,Strong Sell
313,TRST,TrustCo Bank Corp NY Common Stock,,,0.0,Strong Sell
314,VRM,Vroom Inc. Common Stock,,,0.0,Strong Sell
315,AAP,Advance Auto Parts Inc.,0,Hold,,
316,AAT,American Assets Trust Inc. Common Stock,0,Hold,,
317,ABR,Arbor Realty Trust Common Stock,0,Hold,,
318,ACRE,Ares Commercial Real Estate Corporation Common Stock,0,Hold,,
319,ADM,Archer-Daniels-Midland Company Common Stock,0,Hold,,
320,AFL,AFLAC Incorporated Common Stock,0,Hold,,
321,AGR,Avangrid Inc. Common Stock,0,Hold,,
322,ALLE,Allegion plc Ordinary Shares,0,Hold,,
323,ALSN,Allison Transmission Holdings Inc. Common Stock,0,Hold,,
324,AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,0,Hold,,
325,AMC,AMC Entertainment Holdings Inc. Class A Common Stock,0,Hold,,
326,APAM,Artisan Partners Asset Management Inc. Class A Common Stock,0,Hold,,
327,ARI,Apollo Commercial Real Estate Finance Inc,0,Hold,,
328,ARR,ARMOUR Residential REIT Inc.,0,Hold,,
329,ARW,Arrow Electronics Inc. Common Stock,0,Hold,,
330,ASAN,Asana Inc. Class A Common Stock,0,Hold,,
331,ATIP,ATI Physical Therapy Inc. Class A Common Stock,0,Hold,,
332,ATUS,Altice USA Inc. Class A Common Stock,0,Hold,,
333,AVA,Avista Corporation Common Stock,0,Hold,,
334,BALY,Bally's Corporation Common Stock,0,Hold,,
335,BCH,Banco De Chile ADS,0,Hold,,
336,BEN,Franklin Resources Inc. Common Stock,0,Hold,,
337,BGS,B&G Foods Inc. Common Stock,0,Hold,,
338,BHC,Bausch Health Companies Inc. Common Stock,0,Hold,,
339,BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,0,Hold,,
340,BKH,Black Hills Corporation Common Stock,0,Hold,,
341,BKU,BankUnited Inc. Common Stock,0,Hold,,
342,BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),0,Hold,,
343,BNED,Barnes & Noble Education Inc Common Stock,0,Hold,,
344,BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,0,Hold,,
345,BSM,Black Stone Minerals L.P. Common units representing limited partner interests,0,Hold,,
346,BTCM,BIT Mining Limited ADS,0,Hold,,
347,BVN,Buenaventura Mining Company Inc.,0,Hold,,
348,CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,0,Hold,,
349,CCRD,CoreCard Corporation Common Stock,0,Hold,,
350,CCS,Century Communities Inc. Common Stock,0,Hold,,
351,CCU,Compania Cervecerias Unidas S.A. Common Stock,0,Hold,,
352,CEPU,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),0,Hold,,
353,CHGG,Chegg Inc. Common Stock,0,Hold,,
354,CHT,Chunghwa Telecom Co. Ltd.,0,Hold,,
355,CIB,BanColombia S.A. Common Stock,0,Hold,,
356,CION,CION Investment Corporation Common Stock,0,Hold,,
357,CLB,Core Laboratories Inc. Common Stock,0,Hold,,
358,CLF,Cleveland-Cliffs Inc. Common Stock,0,Hold,,
359,CLW,Clearwater Paper Corporation Common Stock,0,Hold,,
360,CLX,Clorox Company (The) Common Stock,0,Hold,,
361,CMRE,Costamare Inc. Common Stock $0.0001 par value,0,Hold,,
362,CMTG,Claros Mortgage Trust Inc. Common Stock,0,Hold,,
363,CNA,CNA Financial Corporation Common Stock,0,Hold,,
364,CNS,Cohen & Steers Inc Common Stock,0,Hold,,
365,CNX,CNX Resources Corporation Common Stock,0,Hold,,
366,CRI,Carter's Inc. Common Stock,0,Hold,,
367,CRK,Comstock Resources Inc. Common Stock,0,Hold,,
368,CTS,CTS Corporation Common Stock,0,Hold,,
369,CURV,Torrid Holdings Inc. Common Stock,0,Hold,,
370,DAN,Dana Incorporated Common Stock ,0,Hold,,
371,DBI,Designer Brands Inc. Class A Common Stock,0,Hold,,
372,DEA,Easterly Government Properties Inc. Common Stock,0,Hold,,
373,DK,Delek US Holdings Inc. Common Stock,0,Hold,,
374,DM,Desktop Metal Inc. Class A Common Stock,0,Hold,,
375,DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,0,Hold,,
376,DNMR,Danimer Scientific Inc. Common Stock,0,Hold,,
377,DSX,Diana Shipping inc. common stock,0,Hold,,
378,DTC,Solo Brands Inc. Class A Common Stock,0,Hold,,
379,DXC,DXC Technology Company Common Stock ,0,Hold,,
380,EAF,GrafTech International Ltd. Common Stock,0,Hold,,
381,EC,Ecopetrol S.A. American Depositary Shares,0,Hold,,
382,ED,Consolidated Edison Inc. Common Stock,0,Hold,,
383,EHAB,Enhabit Inc. Common Stock,0,Hold,,
384,ENV,Envestnet Inc Common Stock,0,Hold,,
385,EQNR,Equinor ASA,0,Hold,,
386,ESRT,Empire State Realty Trust Inc. Class A Common Stock,0,Hold,,
387,ETD,Ethan Allen Interiors Inc. Common Stock,0,Hold,,
388,ETWO,E2open Parent Holdings Inc.Class A Common Stock,0,Hold,,
389,EVRI,Everi Holdings Inc. Common Stock,0,Hold,,
390,EXPD,Expeditors International of Washington Inc. Common Stock,0,Hold,,
391,FG,F&G Annuities & Life Inc. Common Stock,0,Hold,,
392,FIGS,FIGS Inc. Class A Common Stock,0,Hold,,
393,FL,Foot Locker Inc.,0,Hold,,
394,FLNG,FLEX LNG Ltd. Ordinary Shares,0,Hold,,
395,FLO,Flowers Foods Inc. Common Stock,0,Hold,,
396,FMS,Fresenius Medical Care AG American Depositary Shares (Each representing 1/2 of an Ordinary Share),0,Hold,,
397,FREY,FREYR Battery Inc. Common Stock,0,Hold,,
398,FSLY,Fastly Inc. Class A Common Stock,0,Hold,,
399,FTS,Fortis Inc. Common Shares,0,Hold,,
400,GATX,GATX Corporation Common Stock,0,Hold,,
401,GBLI,Global Indemnity Group LLC Class A Common Stock (DE),0,Hold,,
402,GCO,Genesco Inc. Common Stock,0,Hold,,
403,GDOT,Green Dot Corporation Class A Common Stock $0.001 par value,0,Hold,,
404,GIC,Global Industrial Company Common Stock,0,Hold,,
405,GNW,Genworth Financial Inc Common Stock,0,Hold,,
406,GOTU,Gaotu Techedu Inc. American Depositary Shares,0,Hold,,
407,GRBK,Green Brick Partners Inc. Common Stock,0,Hold,,
408,GRMN,Garmin Ltd. Common Stock (Switzerland),0,Hold,,
409,GSBD,Goldman Sachs BDC Inc. Common Stock,0,Hold,,
410,GVA,Granite Construction Incorporated Common Stock,0,Hold,,
411,HBI,Hanesbrands Inc. Common Stock,0,Hold,,
412,HE,Hawaiian Electric Industries Inc. Common Stock,0,Hold,,
413,HGTY,Hagerty Inc. Class A Common Stock,0,Hold,,
414,HLI,Houlihan Lokey Inc. Class A Common Stock,0,Hold,,
415,HOUS,Anywhere Real Estate Inc. Common Stock,0,Hold,,
416,HOV,Hovnanian Enterprises Inc. Class A Common Stock,0,Hold,,
417,HRL,Hormel Foods Corporation Common Stock,0,Hold,,
418,HTH,Hilltop Holdings Inc.,0,Hold,,
419,HYLN,Hyliion Holdings Corp. Class A Common Stock,0,Hold,,
420,ICL,ICL Group Ltd. Ordinary Shares,0,Hold,,
