,Symbol,Name,Buy,Analyst
47,ASPS,Altisource Portfolio Solutions S.A. Common Stock,1,Buy
48,ASYS,Amtech Systems Inc. Common Stock,1,Buy
49,ATER,Aterian Inc. Common Stock,1,Buy
50,ATRA,Atara Biotherapeutics Inc. Common Stock,1,Buy
51,AVDX,AvidXchange Holdings Inc. Common Stock,1,Buy
52,AXNX,Axonics Inc. Common Stock,1,Buy
53,AZPN,Aspen Technology Inc. Common Stock,1,Buy
54,AZTA,Azenta Inc.,1,Buy
55,BACK,IMAC Holdings Inc. Common Stock,1,Buy
56,BAND,Bandwidth Inc. Class A Common Stock,1,Buy
57,BANR,Banner Corporation Common Stock,1,Buy
58,BBCP,Concrete Pumping Holdings Inc. Common Stock,1,Buy
59,BCAL,California BanCorp Common Stock,1,Buy
60,BCBP,BCB Bancorp Inc. (NJ) Common Stock,1,Buy
61,BCOV,Brightcove Inc. Common Stock,1,Buy
62,BEAT,Heartbeam Inc. Common Stock,1,Buy
63,BFIN,BankFinancial Corporation Common Stock,1,Buy
64,BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,1,Buy
65,BJRI,BJ's Restaurants Inc. Common Stock,1,Buy
66,BL,BlackLine Inc. Common Stock,1,Buy
67,BLBX,Blackboxstocks Inc. Common Stock,1,Buy
68,BLKB,Blackbaud Inc. Common Stock,1,Buy
69,BLMN,Bloomin' Brands Inc. Common Stock,1,Buy
70,BLNK,Blink Charging Co. Common Stock,1,Buy
71,BLUE,bluebird bio Inc. Common Stock,1,Buy
72,BMBL,Bumble Inc. Class A Common Stock,1,Buy
73,BMRC,Bank of Marin Bancorp Common Stock,1,Buy
74,BNGO,Bionano Genomics Inc. Common Stock,1,Buy
75,BNZI,Banzai International Inc. Class A Common Stock,1,Buy
76,BOKF,BOK Financial Corporation Common Stock,1,Buy
77,BRKL,Brookline Bancorp Inc. Common Stock,1,Buy
78,BRLT,Brilliant Earth Group Inc. Class A Common Stock,1,Buy
79,BRY,Berry Corporation (bry) Common Stock,1,Buy
80,BSRR,Sierra Bancorp Common Stock,1,Buy
81,BSVN,Bank7 Corp. Common stock,1,Buy
82,BTAI,BioXcel Therapeutics Inc. Common Stock,1,Buy
83,BVS,Bioventus Inc. Class A Common Stock,1,Buy
84,BWFG,Bankwell Financial Group Inc. Common Stock,1,Buy
85,BWIN,The Baldwin Insurance Group Inc. Class A Common Stock,1,Buy
86,CAKE,Cheesecake Factory Incorporated (The) Common Stock,1,Buy
87,CARA,Cara Therapeutics Inc. Common Stock,1,Buy
88,CASH,Pathward Financial Inc. Common Stock,1,Buy
89,CBSH,Commerce Bancshares Inc. Common Stock,1,Buy
90,CCBG,Capital City Bank Group Common Stock,1,Buy
91,CCNE,CNB Financial Corporation Common Stock,1,Buy
92,CCOI,Cogent Communications Holdings Inc.,1,Buy
93,CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,1,Buy
94,CCSI,Consensus Cloud Solutions Inc. Common Stock,1,Buy
95,CDNA,CareDx Inc. Common Stock,1,Buy
96,CENX,Century Aluminum Company Common Stock,1,Buy
97,CERT,Certara Inc. Common Stock,1,Buy
98,CG,The Carlyle Group Inc. Common Stock,1,Buy
99,CGNX,Cognex Corporation Common Stock,1,Buy
100,CHKP,Check Point Software Technologies Ltd. Ordinary Shares,1,Buy
101,CHMG,Chemung Financial Corp Common Stock,1,Buy
102,CHRW,C.H. Robinson Worldwide Inc. Common Stock,1,Buy
103,CHTR,Charter Communications Inc. Class A Common Stock New,1,Buy
104,CINF,Cincinnati Financial Corporation Common Stock,1,Buy
105,CING,Cingulate Inc. Common Stock,1,Buy
106,CIVB,Civista Bancshares Inc. Common Stock,1,Buy
107,CLBK,Columbia Financial Inc. Common Stock,1,Buy
108,CLOV,Clover Health Investments Corp. Class A Common Stock,1,Buy
109,CME,CME Group Inc. Class A Common Stock,1,Buy
110,CMTL,Comtech Telecommunications Corp. Common Stock,1,Buy
111,CNVS,Cineverse Corp. Class A Common Stock,1,Buy
112,COHU,Cohu Inc. Common Stock,1,Buy
113,COIN,Coinbase Global Inc. Class A Common Stock,1,Buy
114,COLB,Columbia Banking System Inc. Common Stock,1,Buy
115,COLM,Columbia Sportswear Company Common Stock,1,Buy
116,COSM,Cosmos Health Inc. Common Stock,1,Buy
117,CPB,Campbell Soup Company Common Stock,1,Buy
118,CRAI,CRA International Inc. Common Stock,1,Buy
119,CRNC,Cerence Inc. Common Stock,1,Buy
120,CRON,Cronos Group Inc. Common Share,1,Buy
121,CRSP,CRISPR Therapeutics AG Common Shares,1,Buy
122,CSCO,Cisco Systems Inc. Common Stock (DE),1,Buy
123,CSIQ,Canadian Solar Inc. Common Shares (ON),1,Buy
124,CSWC,Capital Southwest Corporation Common Stock,1,Buy
125,CSWI,CSW Industrials Inc. Common Stock,1,Buy
126,CTAS,Cintas Corporation Common Stock,1,Buy
127,CTBI,Community Trust Bancorp Inc. Common Stock,1,Buy
128,CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,1,Buy
129,CURI,CuriosityStream Inc. Class A Common Stock,1,Buy
130,CUTR,Cutera Inc. Common Stock,1,Buy
131,CVAC,CureVac N.V. Ordinary Shares,1,Buy
132,CVBF,CVB Financial Corporation Common Stock,1,Buy
133,CVGW,Calavo Growers Inc. Common Stock,1,Buy
134,CVLT,Commvault Systems Inc. Common Stock,1,Buy
135,CYRX,CryoPort Inc. Common Stock,1,Buy
136,CYTH,Cyclo Therapeutics Inc. Common Stock,1,Buy
137,DADA,Dada Nexus Limited American Depositary Shares,1,Buy
138,DBVT,DBV Technologies S.A. American Depositary Shares,1,Buy
139,DBX,Dropbox Inc. Class A Common Stock,1,Buy
140,DCOM,Dime Community Bancshares Inc. Common Stock,1,Buy
141,DENN,Denny's Corporation Common Stock,1,Buy
142,DH,Definitive Healthcare Corp. Class A Common Stock,1,Buy
143,DIOD,Diodes Incorporated Common Stock,1,Buy
144,DLO,DLocal Limited Class A Common Shares,1,Buy
145,DLTR,Dollar Tree Inc. Common Stock,1,Buy
146,DMRC,Digimarc Corporation Common Stock,1,Buy
147,DOCU,DocuSign Inc. Common Stock,1,Buy
148,DOMO,Domo Inc. Class B Common Stock,1,Buy
149,DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,1,Buy
150,DRS,Leonardo DRS Inc. Common Stock,1,Buy
151,DSGN,Design Therapeutics Inc. Common Stock,1,Buy
152,DXLG,Destination XL Group Inc. Common Stock,1,Buy
153,EA,Electronic Arts Inc. Common Stock,1,Buy
154,EBAY,eBay Inc. Common Stock,1,Buy
155,EBC,Eastern Bankshares Inc. Common Stock,1,Buy
156,EDIT,Editas Medicine Inc. Common Stock,1,Buy
157,EGAN,eGain Corporation Common Stock,1,Buy
158,EGHT,8x8 Inc Common Stock,1,Buy
159,ELTX,Elicio Therapeutics Inc. Common Stock,1,Buy
160,EMKR,EMCORE Corporation Common Stock,1,Buy
161,ENPH,Enphase Energy Inc. Common Stock,1,Buy
162,ENTA,Enanta Pharmaceuticals Inc. Common Stock,1,Buy
163,ERIE,Erie Indemnity Company Class A Common Stock,1,Buy
164,ETSY,Etsy Inc. Common Stock,1,Buy
165,EVCM,EverCommerce Inc. Common Stock,1,Buy
166,EVO,Evotec SE American Depositary Shares,1,Buy
167,EVRG,Evergy Inc. Common Stock,1,Buy
168,EXC,Exelon Corporation Common Stock,1,Buy
169,EXPE,Expedia Group Inc. Common Stock,1,Buy
170,EXPI,eXp World Holdings Inc. Common Stock,1,Buy
171,EXPO,Exponent Inc. Common Stock,1,Buy
172,EXTR,Extreme Networks Inc. Common Stock,1,Buy
173,EYE,National Vision Holdings Inc. Common Stock,1,Buy
174,FATE,Fate Therapeutics Inc. Common Stock,1,Buy
175,FBNC,First Bancorp Common Stock,1,Buy
176,FCCO,First Community Corporation Common Stock,1,Buy
177,FCNCA,First Citizens BancShares Inc. Class A Common Stock,1,Buy
178,FDUS,Fidus Investment Corporation Common Stock,1,Buy
179,FEAM,5E Advanced Materials Inc. Common Stock,1,Buy
180,FELE,Franklin Electric Co. Inc. Common Stock,1,Buy
181,FFIC,Flushing Financial Corporation Common Stock,1,Buy
182,FFNW,First Financial Northwest Inc. Common Stock,1,Buy
183,FIBK,First Interstate BancSystem Inc. Common Stock (DE),1,Buy
184,FIVE,Five Below Inc. Common Stock,1,Buy
185,FLGT,Fulgent Genetics Inc. Common Stock,1,Buy
186,FMNB,Farmers National Banc Corp. Common Stock,1,Buy
187,FNKO,Funko Inc. Class A Common Stock,1,Buy
188,FORM,FormFactor Inc. FormFactor Inc. Common Stock,1,Buy
189,FOX,Fox Corporation Class B Common Stock,1,Buy
190,FOXA,Fox Corporation Class A Common Stock,1,Buy
191,FOXF,Fox Factory Holding Corp. Common Stock,1,Buy
192,FRME,First Merchants Corporation Common Stock,1,Buy
193,FSBW,FS Bancorp Inc. Common Stock,1,Buy
194,FSTR,L.B. Foster Company Common Stock,1,Buy
195,FSV,FirstService Corporation Common Shares,1,Buy
196,FTCI,FTC Solar Inc. Common Stock,1,Buy
197,FTDR,Frontdoor Inc. Common Stock,1,Buy
198,FTNT,Fortinet Inc. Common Stock,1,Buy
199,FTRE,Fortrea Holdings Inc. Common Stock,1,Buy
200,FULC,Fulcrum Therapeutics Inc. Common Stock,1,Buy
201,FULT,Fulton Financial Corporation Common Stock,1,Buy
202,FWRD,Forward Air Corporation Common Stock,1,Buy
203,GABC,German American Bancorp Inc. Common Stock,1,Buy
204,GAIN,Gladstone Investment Corporation Business Development Company,1,Buy
205,GBDC,Golub Capital BDC Inc. Common Stock,1,Buy
206,GBIO,Generation Bio Co. Common Stock,1,Buy
207,GCMG,GCM Grosvenor Inc. Class A Common Stock,1,Buy
208,GDEV,GDEV Inc. Ordinary Shares,1,Buy
209,GEN,Gen Digital Inc. Common Stock,1,Buy
210,GEVO,Gevo Inc. Common Stock,1,Buy
211,GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,1,Buy
212,GGR,Gogoro Inc. Ordinary Shares,1,Buy
213,GIFI,Gulf Island Fabrication Inc. Common Stock,1,Buy
214,GILD,Gilead Sciences Inc. Common Stock,1,Buy
215,GLAD,Gladstone Capital Corporation Common Stock,1,Buy
216,GLPG,Galapagos NV American Depositary Shares,1,Buy
217,GLPI,Gaming and Leisure Properties Inc. Common Stock,1,Buy
218,GLTO,Galecto Inc. Common Stock,1,Buy
219,GLYC,GlycoMimetics Inc. Common Stock,1,Buy
220,GMAB,Genmab A/S ADS,1,Buy
221,GNTX,Gentex Corporation Common Stock,1,Buy
222,GO,Grocery Outlet Holding Corp. Common Stock,1,Buy
223,GOGL,Golden Ocean Group Limited Common Stock,1,Buy
224,GOGO,Gogo Inc. Common Stock,1,Buy
225,GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,1,Buy
226,GORV,Lazydays Holdings Inc. Common Stock,1,Buy
227,GRPN,Groupon Inc. Common Stock,1,Buy
228,GRTS,Gritstone bio Inc. Common Stock,1,Buy
229,GRWG,GrowGeneration Corp. Common Stock,1,Buy
230,GSHD,Goosehead Insurance Inc. Class A Common Stock,1,Buy
231,GT,The Goodyear Tire & Rubber Company Common Stock,1,Buy
232,GTX,Garrett Motion Inc. Common Stock,1,Buy
233,HAFC,Hanmi Financial Corporation Common Stock,1,Buy
234,HAIN,Hain Celestial Group Inc. (The) Common Stock,1,Buy
235,HBAN,Huntington Bancshares Incorporated Common Stock,1,Buy
236,HBCP,Home Bancorp Inc. Common Stock,1,Buy
237,HBNC,Horizon Bancorp Inc. Common Stock,1,Buy
238,HCP,HashiCorp Inc. Class A Common Stock,1,Buy
239,HCSG,Healthcare Services Group Inc. Common Stock,1,Buy
240,HELE,Helen of Troy Limited Common Stock,1,Buy
241,HFWA,Heritage Financial Corporation Common Stock,1,Buy
242,HMST,HomeStreet Inc. Common Stock,1,Buy
243,HOLX,Hologic Inc. Common Stock,1,Buy
244,HONE,HarborOne Bancorp Inc. Common Stock,1,Buy
245,HOOD,Robinhood Markets Inc. Class A Common Stock,1,Buy
246,HOPE,Hope Bancorp Inc. Common Stock,1,Buy
247,HPK,HighPeak Energy Inc. Common Stock,1,Buy
248,HSIC,Henry Schein Inc. Common Stock,1,Buy
249,HSII,Heidrick & Struggles International Inc. Common Stock,1,Buy
250,HSTM,HealthStream Inc. Common Stock,1,Buy
251,HTOO,Fusion Fuel Green PLC Class A Ordinary Shares,1,Buy
252,HUBG,Hub Group Inc. Class A Common Stock,1,Buy
253,HWKN,Hawkins Inc. Common Stock,1,Buy
254,HYPR,Hyperfine Inc. Class A Common Stock,1,Buy
255,IBEX,IBEX Limited Common Shares,1,Buy
256,IBRX,ImmunityBio Inc. Common Stock,1,Buy
257,IBTX,Independent Bank Group Inc Common Stock,1,Buy
258,ICUI,ICU Medical Inc. Common Stock,1,Buy
259,IDCC,InterDigital Inc. Common Stock,1,Buy
260,IDN,Intellicheck Inc. Common Stock,1,Buy
261,IGMS,IGM Biosciences Inc. Common Stock,1,Buy
262,ILPT,Industrial Logistics Properties Trust Common Shares of Beneficial Interest,1,Buy
263,IMXI,International Money Express Inc. Common Stock,1,Buy
264,INBK,First Internet Bancorp Common Stock,1,Buy
265,INCY,Incyte Corp. Common Stock,1,Buy
266,INDB,Independent Bank Corp. Common Stock,1,Buy
267,INMD,InMode Ltd. Ordinary Shares,1,Buy
268,INO,Inovio Pharmaceuticals Inc. Common Stock,1,Buy
269,INTR,Inter & Co. Inc. Class A Common Shares,1,Buy
270,INTZ,Intrusion Inc. Common Stock,1,Buy
271,INVA,Innoviva Inc. Common Stock,1,Buy
272,IOSP,Innospec Inc. Common Stock,1,Buy
273,IPGP,IPG Photonics Corporation Common Stock,1,Buy
274,IQ,iQIYI Inc. American Depositary Shares,1,Buy
275,ISPO,Inspirato Incorporated Class A Common Stock,1,Buy
276,ITI,Iteris Inc. Common Stock,1,Buy
277,JACK,Jack In The Box Inc. Common Stock,1,Buy
278,JKHY,Jack Henry & Associates Inc. Common Stock,1,Buy
279,JRVR,James River Group Holdings Ltd. Common Shares,1,Buy
280,KHC,The Kraft Heinz Company Common Stock,1,Buy
281,KIRK,Kirkland's Inc. COMMONSTOCK,1,Buy
282,KLIC,Kulicke and Soffa Industries Inc. Common Stock,1,Buy
283,KLTR,Kaltura Inc. Common Stock,1,Buy
284,KSCP,Knightscope Inc. Class A Common Stock,1,Buy
285,KZR,Kezar Life Sciences Inc. Common Stock,1,Buy
286,LAMR,Lamar Advertising Company Class A Common Stock,1,Buy
287,LANC,Lancaster Colony Corporation Common Stock,1,Buy
288,LAND,Gladstone Land Corporation Common Stock,1,Buy
289,LASR,nLIGHT Inc. Common Stock,1,Buy
290,LAUR,Laureate Education Inc. Common Stock,1,Buy
291,LAZR,Luminar Technologies Inc.  Class A Common Stock,1,Buy
292,LBTYA,Liberty Global Ltd. Class A Common Shares,1,Buy
293,LDTC,LeddarTech Holdings Inc. Common Shares,1,Buy
294,LECO,Lincoln Electric Holdings Inc. Common Shares,1,Buy
295,LESL,Leslie's Inc. Common Stock,1,Buy
296,LFCR,Lifecore Biomedical Inc. Common Stock,1,Buy
297,LFST,LifeStance Health Group Inc. Common Stock,1,Buy
298,LFUS,Littelfuse Inc. Common Stock,1,Buy
299,LILA,Liberty Latin America Ltd. Class A Common Stock,1,Buy
300,LILAK,Liberty Latin America Ltd. Class C Common Stock,1,Buy
301,LILM,Lilium NV Class A Ordinary Shares,1,Buy
302,LITE,Lumentum Holdings Inc. Common Stock,1,Buy
303,LKFN,Lakeland Financial Corporation Common Stock,1,Buy
304,LMFA,LM Funding America Inc. Common Stock,1,Buy
305,LNKB,LINKBANCORP Inc. Common Stock,1,Buy
306,LNT,Alliant Energy Corporation Common Stock,1,Buy
307,LOCO,El Pollo Loco Holdings Inc. Common Stock,1,Buy
308,LOGI,Logitech International S.A. Ordinary Shares,1,Buy
309,LPRO,Open Lending Corporation Common Stock,1,Buy
310,LSTR,Landstar System Inc. Common Stock,1,Buy
311,LULU,lululemon athletica inc. Common Stock,1,Buy
312,LWAY,Lifeway Foods Inc. Common Stock,1,Buy
313,LX,LexinFintech Holdings Ltd. American Depositary Shares,1,Buy
314,LYEL,Lyell Immunopharma Inc. Common Stock,1,Buy
315,LYFT,Lyft Inc. Class A Common Stock,1,Buy
316,LYRA,Lyra Therapeutics Inc. Common Stock,1,Buy
317,LZ,LegalZoom.com Inc. Common Stock,1,Buy
318,MAPS,WM Technology Inc. Class A Common Stock ,1,Buy
319,MAR,Marriott International Class A Common Stock,1,Buy
320,MARA,MARA Holdings Inc. Common Stock,1,Buy
321,MBIN,Merchants Bancorp Common Stock,1,Buy
322,MBLY,Mobileye Global Inc. Class A Common Stock,1,Buy
323,MBWM,Mercantile Bank Corporation Common Stock,1,Buy
324,MCFT,MasterCraft Boat Holdings Inc. Common Stock,1,Buy
325,MCRB,Seres Therapeutics Inc. Common Stock,1,Buy
326,MFIC,MidCap Financial Investment Corporation Common Stock,1,Buy
327,MFIN,Medallion Financial Corp. Common Stock,1,Buy
328,MGNX,MacroGenics Inc. Common Stock,1,Buy
329,MKTW,MarketWise Inc. Class A Common Stock,1,Buy
330,MKTX,MarketAxess Holdings Inc. Common Stock,1,Buy
331,MLAB,Mesa Laboratories Inc. Common Stock,1,Buy
332,MNSB,MainStreet Bancshares Inc. Common Stock,1,Buy
333,MNST,Monster Beverage Corporation,1,Buy
334,MOFG,MidWestOne Financial Gp Common Stock,1,Buy
335,MOLN,Molecular Partners AG American Depositary Shares,1,Buy
336,MOMO,Hello Group Inc. American Depositary Shares,1,Buy
337,MOVE,Movano Inc. Common Stock,1,Buy
338,MRBK,Meridian Corporation Common Stock,1,Buy
339,MRCC,Monroe Capital Corporation Common Stock,1,Buy
340,MRNA,Moderna Inc. Common Stock,1,Buy
341,MRTN,Marten Transport Ltd. Common Stock,1,Buy
342,MSEX,Middlesex Water Company Common Stock,1,Buy
343,MXL,MaxLinear Inc. Common Stock,1,Buy
344,MYFW,First Western Financial Inc. Common Stock,1,Buy
345,MYGN,Myriad Genetics Inc. Common Stock,1,Buy
346,MYNZ,Mainz Biomed N.V. Ordinary Shares,1,Buy
347,MYPS,PLAYSTUDIOS Inc.  Class A Common Stock,1,Buy
348,NAUT,Nautilus Biotechnolgy Inc. Common Stock,1,Buy
349,NBTB,NBT Bancorp Inc. Common Stock,1,Buy
350,NCNA,NuCana plc American Depositary Share,1,Buy
351,NCPL,Netcapital Inc. Common Stock,1,Buy
352,NDRA,ENDRA Life Sciences Inc. Common Stock,1,Buy
353,NDSN,Nordson Corporation Common Stock,1,Buy
354,NEOG,Neogen Corporation Common Stock,1,Buy
355,NEXN,Nexxen International Ltd. American Depository Shares,1,Buy
356,NFE,New Fortress Energy Inc. Class A Common Stock,1,Buy
357,NKLA,Nikola Corporation Common Stock,1,Buy
358,NKTR,Nektar Therapeutics  Common Stock,1,Buy
359,NMFC,New Mountain Finance Corporation Common Stock,1,Buy
360,NN,NextNav Inc. Common Stock,1,Buy
361,NOVT,Novanta Inc. Common Stock,1,Buy
362,NSIT,Insight Enterprises Inc. Common Stock,1,Buy
363,NTAP,NetApp Inc. Common Stock,1,Buy
364,NTBL,Notable Labs Ltd. Ordinary Shares,1,Buy
365,NTGR,NETGEAR Inc. Common Stock,1,Buy
366,NUWE,Nuwellis Inc. Common Stock,1,Buy
367,NVAX,Novavax Inc. Common Stock,1,Buy
368,NVCR,NovoCure Limited Ordinary Shares,1,Buy
369,NVEI,Nuvei Corporation Subordinate Voting Shares,1,Buy
370,NWE,NorthWestern Energy Group Inc. Common Stock,1,Buy
371,NYMT,New York Mortgage Trust Inc. Common Stock,1,Buy
372,OB,Outbrain Inc. Common Stock,1,Buy
373,OCFC,OceanFirst Financial Corp. Common Stock,1,Buy
374,OCSL,Oaktree Specialty Lending Corporation Common Stock,1,Buy
375,OCX,Oncocyte Corporation Common Stock,1,Buy
376,ODFL,Old Dominion Freight Line Inc. Common Stock,1,Buy
377,ODP,The ODP Corporation Common Stock,1,Buy
378,OFIX,Orthofix Medical Inc. Common Stock (DE),1,Buy
379,OKTA,Okta Inc. Class A Common Stock,1,Buy
380,OM,Outset Medical Inc. Common Stock,1,Buy
381,OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS,1,Buy
382,OMCL,Omnicell Inc. Common Stock ($0.001 par value),1,Buy
383,OMIC,Singular Genomics Systems Inc. Common Stock,1,Buy
384,ONCT,Oncternal Therapeutics Inc. Common Stock,1,Buy
385,OPBK,OP Bancorp Common Stock,1,Buy
386,OPEN,Opendoor Technologies Inc Common Stock,1,Buy
387,OPI,Office Properties Income Trust Common Shares of Beneficial Interest,1,Buy
388,OPRT,Oportun Financial Corporation Common Stock,1,Buy
389,OSPN,OneSpan Inc. Common Stock,1,Buy
390,OSUR,OraSure Technologies Inc. Common Stock,1,Buy
391,OTEX,Open Text Corporation Common Shares,1,Buy
392,PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,1,Buy
393,PACB,Pacific Biosciences of California Inc. Common Stock,1,Buy
394,PAGP,Plains GP Holdings L.P. Class A Units representing Limited Partner Interests,1,Buy
395,PCAR,PACCAR Inc. Common Stock,1,Buy
396,PCRX,Pacira BioSciences Inc. Common Stock,1,Buy
397,PCT,PureCycle Technologies Inc. Common stock,1,Buy
398,PDCO,Patterson Companies Inc. Common Stock,1,Buy
399,PDEX,Pro-Dex Inc. Common Stock,1,Buy
400,PEBO,Peoples Bancorp Inc. Common Stock,1,Buy
401,PECO,Phillips Edison & Company Inc. Common Stock,1,Buy
402,PENN,PENN Entertainment Inc. Common Stock,1,Buy
403,PEP,PepsiCo Inc. Common Stock,1,Buy
404,PERI,Perion Network Ltd. Ordinary Shares,1,Buy
405,PETQ,PetIQ Inc. Class A Common Stock,1,Buy
406,PFC,Premier Financial Corp. Common Stock,1,Buy
407,PGC,Peapack-Gladstone Financial Corporation Common Stock,1,Buy
408,PIII,P3 Health Partners Inc. Class A Common Stock,1,Buy
409,PLBC,Plumas Bancorp,1,Buy
410,PLBY,PLBY Group Inc. Common Stock,1,Buy
411,PLL,Piedmont Lithium Inc. Common Stock,1,Buy
412,PLMR,Palomar Holdings Inc. Common stock,1,Buy
413,PLTK,Playtika Holding Corp. Common Stock,1,Buy
414,PLUG,Plug Power Inc. Common Stock,1,Buy
415,PLUS,ePlus inc. Common Stock,1,Buy
416,PLXS,Plexus Corp. Common Stock,1,Buy
417,POOL,Pool Corporation Common Stock,1,Buy
418,POWW,AMMO Inc. Common Stock,1,Buy
419,PPBI,Pacific Premier Bancorp Inc,1,Buy
420,PPC,Pilgrim's Pride Corporation Common Stock,1,Buy
421,PRAA,PRA Group Inc. Common Stock,1,Buy
422,PRLD,Prelude Therapeutics Incorporated Common Stock,1,Buy
423,PROP,Prairie Operating Co. Common Stock,1,Buy
424,PRPL,Purple Innovation Inc. Common Stock,1,Buy
425,PRTS,CarParts.com Inc. Common Stock,1,Buy
426,PSMT,PriceSmart Inc. Common Stock,1,Buy
427,PTCT,PTC Therapeutics Inc. Common Stock,1,Buy
428,PTMN,Portman Ridge Finance Corporation Common Stock,1,Buy
429,PTON,Peloton Interactive Inc. Class A Common Stock,1,Buy
430,PUBM,PubMatic Inc. Class A Common Stock,1,Buy
431,PWP,Perella Weinberg Partners Class A Common Stock,1,Buy
432,PYCR,Paycor HCM Inc. Common Stock,1,Buy
433,PYPD,PolyPid Ltd. Ordinary Shares,1,Buy
434,PYPL,PayPal Holdings Inc. Common Stock,1,Buy
435,PZZA,Papa John's International Inc. Common Stock,1,Buy
436,QDEL,QuidelOrtho Corporation Common Stock,1,Buy
437,QLYS,Qualys Inc. Common Stock,1,Buy
438,QNRX,Quoin Pharmaceuticals Ltd. American Depositary Shares,1,Buy
439,QNTM,Quantum Biopharma Ltd. Class B Subordinate Voting Shares,1,Buy
440,QRVO,Qorvo Inc. Common Stock,1,Buy
441,QSI,Quantum-Si Incorporated Class A Common Stock,1,Buy
442,QUBT,Quantum Computing Inc. Common Stock,1,Buy
443,RAPT,RAPT Therapeutics Inc. Common Stock,1,Buy
444,RCM,R1 RCM Inc. Common Stock,1,Buy
445,RDFN,Redfin Corporation Common Stock,1,Buy
446,RDWR,Radware Ltd. Ordinary Shares,1,Buy
447,REAL,The RealReal Inc. Common Stock,1,Buy
448,REYN,Reynolds Consumer Products Inc. Common Stock,1,Buy
449,RGF,The Real Good Food Company Inc. Class A Common Stock,1,Buy
450,RGLD,Royal Gold Inc. Common Stock,1,Buy
451,RIGL,Rigel Pharmaceuticals Inc. Common Stock,1,Buy
452,RIVN,Rivian Automotive Inc. Class A Common Stock,1,Buy
453,RLMD,Relmada Therapeutics Inc. Common Stock,1,Buy
454,RMNI,Rimini Street Inc. (DE) Common Stock,1,Buy
455,RMR,The RMR Group Inc. Class A Common Stock,1,Buy
456,ROAD,Construction Partners Inc. Class A Common Stock,1,Buy
